condition,severity,method,image,IoU,F1,inference_ms
fog,0.0,classical,clips/0601/1494453793475579483/20.jpg,0.09214784534150912,0.16874610106051155,1.7934170318767428
fog,0.0,classical,clips/0601/1494453799472239703/20.jpg,0.08353200350061864,0.1541846539479181,1.7880410887300968
fog,0.0,classical,clips/0601/1494453805469700214/20.jpg,0.18863649738127464,0.3173998069163552,2.072207978926599
fog,0.0,classical,clips/0601/1494453811467016035/20.jpg,0.16086970182549407,0.27715376079248655,1.9031669944524765
fog,0.0,classical,clips/0601/1494453817464323387/20.jpg,0.13248886485929817,0.23397822083797487,1.798874931409955
fog,0.0,classical,clips/0601/1494453823461695785/20.jpg,0.15566760037348273,0.269398571567075,1.9471669802442193
fog,0.0,classical,clips/0601/1494453829459036893/20.jpg,0.16863155761240414,0.2885966180083827,1.6977919731289148
fog,0.0,classical,clips/0601/1494453835456441057/20.jpg,0.12571006771719245,0.22334359676131832,1.462958985939622
fog,0.0,classical,clips/0601/1494453841456411836/20.jpg,0.0,nan,1.3325839536264539
fog,0.0,classical,clips/0601/1494453847451852161/20.jpg,0.03485888140859658,0.06736934288305758,1.447416958399117
fog,0.0,classical,clips/0601/1494453853451104735/20.jpg,0.21162100854999127,0.34931881678619775,1.5281250234693289
fog,0.0,classical,clips/0601/1494453859446867209/20.jpg,0.16609270474607132,0.2848704979802437,1.5524170594289899
fog,0.0,classical,clips/0601/1494453865443302705/20.jpg,0.16031732914635155,0.27633359447332806,1.6826249193400145
fog,0.0,classical,clips/0601/1494453871443269121/20.jpg,0.30376056390006273,0.4659759963768116,1.5850000781938434
fog,0.0,classical,clips/0601/1494453877438073356/20.jpg,0.05866872521842872,0.1108349076928176,1.5612919814884663
fog,0.0,classical,clips/0601/1494453883436198482/20.jpg,0.12626125951985154,0.2242130916829712,1.4825839316472411
fog,0.0,classical,clips/0601/1494453889432873365/20.jpg,0.09917220168177207,0.1804488896826814,1.5011249342933297
fog,0.0,classical,clips/0601/1494453895431227611/20.jpg,0.1950605442992447,0.3264446227929374,1.789625035598874
fog,0.0,classical,clips/0601/1494453901427565927/20.jpg,0.06100110687492313,0.11498782890923843,1.6714159864932299
fog,0.0,classical,clips/0601/1494453907426815473/20.jpg,0.12783934606617936,0.22669779434823514,1.1761250207200646
fog,0.0,classical,clips/0601/1494453913422263611/20.jpg,0.32461792028768355,0.49013064871896384,1.821249956265092
fog,0.0,classical,clips/0601/1494453919420314205/20.jpg,0.2498448939074327,0.399801439563167,1.2529579689726233
fog,0.0,classical,clips/0601/1495058507652622962/20.jpg,0.22391865516590065,0.365904472851668,2.1056670229882
fog,0.0,classical,clips/0601/1495058515650447849/20.jpg,0.1405170286278381,0.24640934786724727,2.70191696472466
fog,0.0,classical,clips/0601/1495058521646381547/20.jpg,0.07746411938028705,0.14378969654199014,2.8504589572548866
fog,0.0,classical,clips/0601/1495058527645454477/20.jpg,0.010965132889362815,0.021692405667887278,2.9942499240860343
fog,0.0,classical,clips/0601/1495058533641199011/20.jpg,0.11956993489840205,0.2135997603566457,2.9331250116229057
fog,0.0,classical,clips/0601/1495058539638866627/20.jpg,0.017323635226028467,0.03405727464924082,2.526666969060898
fog,0.0,classical,clips/0601/1495058545635832279/20.jpg,0.02953149098632146,0.057368795893808784,1.92454201169312
fog,0.0,classical,clips/0601/1495058551633359536/20.jpg,0.2727998977439765,0.4286610931184253,2.1231669234111905
fog,0.0,classical,clips/0601/1495058557632067443/20.jpg,0.0028357892505035515,0.005655540579825048,1.8480840371921659
fog,0.0,classical,clips/0601/1495058563627986766/20.jpg,0.1163898045806132,0.20851104892405675,2.5875000283122063
fog,0.0,classical,clips/0601/1495058569626907953/20.jpg,0.1294225481209899,0.22918357409511445,2.3771249689161777
fog,0.0,classical,clips/0601/1495058575622734256/20.jpg,0.21594122539506516,0.3551836567181194,1.9617080688476562
fog,0.0,classical,clips/0601/1495058581620129503/20.jpg,0.04953015344355894,0.09438538431897,2.151249907910824
fog,0.0,classical,clips/0601/1495058587617442669/20.jpg,0.08716887224690095,0.16035939672692268,3.1333750812336802
fog,0.0,classical,clips/0601/1495058593615616960/20.jpg,0.08270646526649415,0.15277726312669063,3.029000014066696
fog,0.0,classical,clips/0601/1495058599612448574/20.jpg,0.10116288525656664,0.18373827634591242,2.551749930717051
fog,0.0,classical,clips/0601/1495058605609578659/20.jpg,0.1056475170399221,0.19110523998238663,3.2244169851765037
fog,0.0,classical,clips/0601/1495058611609939176/20.jpg,0.08923460568449092,0.16384827514438835,1.9891249248757958
fog,0.0,classical,clips/0601/1495058617604256196/20.jpg,0.0032772729948780345,0.006533135122447383,1.8928750650957227
fog,0.0,classical,clips/0601/1495058623602404204/20.jpg,0.12000455749565614,0.21429298067141403,2.4127920623868704
fog,0.0,classical,clips/0601/1495058629599018470/20.jpg,0.13186637965399028,0.2330069733042192,1.7983749276027083
fog,0.0,classical,clips/0601/1495058635596342127/20.jpg,0.13407437116828053,0.2364472288182691,2.2847079671919346
fog,0.0,classical,clips/0601/1495058641593823148/20.jpg,0.11980929397569087,0.21398160315374506,2.501458046026528
fog,0.0,classical,clips/0601/1495058647591446332/20.jpg,0.1702975432640166,0.29103289884561917,2.869167015887797
fog,0.0,classical,clips/0601/1495058653588446886/20.jpg,0.1125839983200336,0.2023829184853132,2.74283392354846
fog,0.0,classical,clips/0601/1495058659585835658/20.jpg,0.12325184157147433,0.219455400845887,4.753499990329146
fog,0.0,classical,clips/0601/1495058665583165347/20.jpg,0.05619286088627497,0.10640643951924136,2.5398340076208115
fog,0.0,classical,clips/0601/1495058671580580478/20.jpg,0.07983434048760159,0.14786405190920712,2.300749998539686
fog,0.0,classical,clips/0601/1495058677578062974/20.jpg,0.14130013688370052,0.24761258203213393,1.8917500274255872
fog,0.0,classical,clips/0601/1495058683578929172/20.jpg,0.14948822927328556,0.26009527625662254,2.9907500138506293
fog,0.0,classical,clips/0601/1495058689572753425/20.jpg,0.03500459314412803,0.06764142570187322,2.5246250443160534
